id_tipo_acidente,tipo_acidente,causa_acidente,classificacao_acidente
380,Atropelamento de Pedestre,Suicídio (presumido),Com Vítimas Feridas
381,Colisão traseira,Mal súbito do condutor,Com Vítimas Feridas
382,Colisão lateral sentido oposto,Ultrapassagem Indevida,Com Vítimas Fatais
383,Atropelamento de Animal,Animais na Pista,Com Vítimas Fatais
384,Colisão lateral mesmo sentido,Ultrapassagem Indevida,Sem Vítimas
385,Colisão frontal,Ingestão de álcool pelo condutor,Com Vítimas Fatais
386,Colisão com objeto,Ingestão de substâncias psicoativas pelo condutor,Sem Vítimas
387,Colisão lateral mesmo sentido,Problema na suspensão,Com Vítimas Feridas
388,Colisão lateral mesmo sentido,Pista Escorregadia,Sem Vítimas
389,Colisão lateral mesmo sentido,Faixas de trânsito com largura insuficiente,Sem Vítimas
390,Colisão lateral sentido oposto,Condutor usando celular,Com Vítimas Feridas
391,Saída de leito carroçável,Avarias e/ou desgaste excessivo no pneu,Com Vítimas Fatais
392,Tombamento,Ingestão de álcool pelo condutor,Com Vítimas Feridas
393,Colisão frontal,Condutor deixou de manter distância do veículo da frente,Sem Vítimas
394,Colisão lateral sentido oposto,Condutor Dormindo,Com Vítimas Fatais
395,Colisão transversal,Conversão proibida,Com Vítimas Fatais
396,Colisão transversal,Retorno proibido,Com Vítimas Fatais
397,Saída de leito carroçável,Avarias e/ou desgaste excessivo no pneu,Com Vítimas Feridas
398,Saída de leito carroçável,Problema na suspensão,Com Vítimas Feridas
399,Colisão traseira,Chuva,Sem Vítimas
400,Colisão lateral mesmo sentido,Manobra de mudança de faixa,Com Vítimas Fatais
401,Colisão frontal,Ingestão de substâncias psicoativas pelo condutor,Com Vítimas Feridas
402,Colisão lateral mesmo sentido,Condutor deixou de manter distância do veículo da frente,Com Vítimas Fatais
403,Saída de leito carroçável,Problema com o freio,Sem Vítimas
404,Saída de leito carroçável,Transitar na contramão,Com Vítimas Feridas
405,Colisão lateral sentido oposto,Acumulo de areia ou detritos sobre o pavimento,Com Vítimas Feridas
406,Colisão lateral sentido oposto,Carga excessiva e/ou mal acondicionada,Com Vítimas Feridas
407,Tombamento,Animais na Pista,Com Vítimas Feridas
408,Colisão com objeto,Transitar na contramão,Com Vítimas Feridas
409,Colisão lateral mesmo sentido,Desvio temporário,Com Vítimas Feridas
410,Colisão lateral mesmo sentido,Afundamento ou ondulação no pavimento,Sem Vítimas
411,Colisão com objeto,Estacionar ou parar em local proibido,Com Vítimas Feridas
412,Atropelamento de Pedestre,Acesso irregular,Com Vítimas Fatais
413,Colisão lateral mesmo sentido,Demais falhas na via,Com Vítimas Feridas
414,Tombamento,Ausência de reação do condutor,Sem Vítimas
415,Colisão traseira,Entrada inopinada do pedestre,Sem Vítimas
416,Colisão frontal,Avarias e/ou desgaste excessivo no pneu,Com Vítimas Fatais
417,Engavetamento,Acesso irregular,Com Vítimas Feridas
418,Colisão com objeto,Carga excessiva e/ou mal acondicionada,Sem Vítimas
419,Colisão lateral mesmo sentido,Problema com o freio,Com Vítimas Feridas
420,Tombamento,Conversão proibida,Com Vítimas Fatais
421,Colisão lateral sentido oposto,Acumulo de água sobre o pavimento,Com Vítimas Feridas
422,Colisão lateral mesmo sentido,Acessar a via sem observar a presença dos outros veículos,Com Vítimas Fatais
423,Engavetamento,Manobra de mudança de faixa,Com Vítimas Feridas
424,Tombamento,Carga excessiva e/ou mal acondicionada,Com Vítimas Fatais
425,Colisão com objeto,Carga excessiva e/ou mal acondicionada,Com Vítimas Fatais
426,Colisão frontal,Suicídio (presumido),Com Vítimas Fatais
427,Colisão com objeto,Ingestão de álcool pelo condutor,Com Vítimas Feridas
428,Tombamento,Problema com o freio,Com Vítimas Feridas
429,Colisão traseira,Problema com o freio,Sem Vítimas
430,Tombamento,Curva acentuada,Com Vítimas Fatais
431,Colisão transversal,Condutor desrespeitou a iluminação vermelha do semáforo,Com Vítimas Feridas
432,Saída de leito carroçável,Acumulo de óleo sobre o pavimento,Com Vítimas Feridas
433,Colisão transversal,Área urbana sem a presença de local apropriado para a travessia de pedestres,Com Vítimas Feridas
434,Saída de leito carroçável,Falta de elemento de contenção que evite a saída do leito carroçável,Com Vítimas Feridas
435,Colisão frontal,Deficiência do Sistema de Iluminação/Sinalização,Com Vítimas Feridas
436,Engavetamento,Trafegar com motocicleta (ou similar) entre as faixas,Com Vítimas Feridas
437,Atropelamento de Pedestre,Acessar a via sem observar a presença dos outros veículos,Com Vítimas Feridas
438,Colisão transversal,Ultrapassagem Indevida,Sem Vítimas
439,Colisão traseira,Demais Fenômenos da natureza,Sem Vítimas
440,Colisão traseira,Suicídio (presumido),Com Vítimas Fatais
441,Tombamento,Problema na suspensão,Com Vítimas Feridas
442,Tombamento,Pista Escorregadia,Com Vítimas Feridas
443,Saída de leito carroçável,Falta de acostamento,Sem Vítimas
444,Tombamento,Afundamento ou ondulação no pavimento,Sem Vítimas
445,Colisão com objeto,Pedestre andava na pista,Com Vítimas Feridas
446,Queda de ocupante de veículo,Manobra de mudança de faixa,Com Vítimas Feridas
447,Colisão transversal,Problema com o freio,Com Vítimas Feridas
448,Colisão traseira,Objeto estático sobre o leito carroçável,Com Vítimas Feridas
449,Saída de leito carroçável,Manobra de mudança de faixa,Sem Vítimas
450,Incêndio,Carga excessiva e/ou mal acondicionada,Sem Vítimas
451,Capotamento,Manobra de mudança de faixa,Com Vítimas Feridas
452,Tombamento,Carga excessiva e/ou mal acondicionada,Sem Vítimas
453,Colisão com objeto,Avarias e/ou desgaste excessivo no pneu,Sem Vítimas
454,Eventos atípicos,Transitar na contramão,Sem Vítimas
455,Queda de ocupante de veículo,Velocidade Incompatível,Com Vítimas Feridas
456,Tombamento,Condutor deixou de manter distância do veículo da frente,Com Vítimas Feridas
457,Colisão traseira,Acessar a via sem observar a presença dos outros veículos,Com Vítimas Fatais
458,Saída de leito carroçável,Avarias e/ou desgaste excessivo no pneu,Sem Vítimas
459,Atropelamento de Pedestre,Pedestre - Ingestão de álcool/ substâncias psicoativas,Com Vítimas Feridas
460,Queda de ocupante de veículo,Declive acentuado,Com Vítimas Feridas
461,Atropelamento de Pedestre,Iluminação deficiente,Com Vítimas Feridas
462,Colisão frontal,Acumulo de óleo sobre o pavimento,Com Vítimas Feridas
463,Colisão lateral sentido oposto,Pista Escorregadia,Com Vítimas Feridas
464,Colisão traseira,Ingestão de substâncias psicoativas pelo condutor,Com Vítimas Feridas
465,Colisão transversal,Avarias e/ou desgaste excessivo no pneu,Sem Vítimas
466,Colisão com objeto,Mal súbito do condutor,Com Vítimas Fatais
467,Colisão lateral sentido oposto,Acessar a via sem observar a presença dos outros veículos,Com Vítimas Feridas
468,Tombamento,Manobra de mudança de faixa,Com Vítimas Fatais
469,Colisão transversal,Mal súbito do condutor,Com Vítimas Fatais
470,Engavetamento,Reação tardia ou ineficiente do condutor,Com Vítimas Fatais
471,Colisão lateral mesmo sentido,Transitar no Acostamento,Com Vítimas Fatais
472,Colisão com objeto,Avarias e/ou desgaste excessivo no pneu,Com Vítimas Feridas
473,Derramamento de carga,Frear bruscamente,Sem Vítimas
474,Colisão transversal,Acumulo de areia ou detritos sobre o pavimento,Com Vítimas Fatais
475,Colisão lateral mesmo sentido,Avarias e/ou desgaste excessivo no pneu,Com Vítimas Feridas
476,Colisão com objeto,Velocidade Incompatível,Sem Vítimas
477,Tombamento,Pista Escorregadia,Sem Vítimas
478,Colisão traseira,Ingestão de álcool pelo condutor,Com Vítimas Fatais
479,Colisão traseira,Velocidade Incompatível,Sem Vítimas
480,Colisão lateral sentido oposto,Estacionar ou parar em local proibido,Com Vítimas Fatais
481,Eventos atípicos,Condutor deixou de manter distância do veículo da frente,Com Vítimas Feridas
482,Engavetamento,Sinalização mal posicionada,Com Vítimas Feridas
483,Colisão frontal,Ausência de sinalização,Sem Vítimas
484,Queda de ocupante de veículo,Conversão proibida,Com Vítimas Feridas
485,Colisão frontal,Frear bruscamente,Com Vítimas Feridas
486,Saída de leito carroçável,Mal súbito do condutor,Com Vítimas Fatais
487,Colisão transversal,Condutor deixou de manter distância do veículo da frente,Sem Vítimas
488,Colisão lateral mesmo sentido,Condutor Dormindo,Sem Vítimas
489,Engavetamento,Ingestão de álcool pelo condutor,Com Vítimas Feridas
490,Incêndio,Problema com o freio,Com Vítimas Feridas
491,Colisão traseira,Manobra de mudança de faixa,Com Vítimas Fatais
492,Colisão lateral sentido oposto,Mal súbito do condutor,Com Vítimas Fatais
493,Colisão transversal,Condutor usando celular,Com Vítimas Feridas
494,Colisão frontal,Reação tardia ou ineficiente do condutor,Sem Vítimas
495,Tombamento,Acumulo de areia ou detritos sobre o pavimento,Com Vítimas Feridas
496,Colisão traseira,Deficiência do Sistema de Iluminação/Sinalização,Sem Vítimas
497,Engavetamento,Chuva,Com Vítimas Feridas
498,Saída de leito carroçável,Desrespeitar a preferência no cruzamento,Com Vítimas Feridas
499,Capotamento,Acessar a via sem observar a presença dos outros veículos,Com Vítimas Feridas
500,Colisão com objeto,Problema com o freio,Sem Vítimas
501,Derramamento de carga,Demais falhas mecânicas ou elétricas,Sem Vítimas
502,Tombamento,Iluminação deficiente,Com Vítimas Feridas
503,Saída de leito carroçável,Afundamento ou ondulação no pavimento,Com Vítimas Fatais
504,Atropelamento de Pedestre,Acesso irregular,Com Vítimas Feridas
505,Colisão com objeto,Demais falhas mecânicas ou elétricas,Com Vítimas Fatais
506,Saída de leito carroçável,Acumulo de areia ou detritos sobre o pavimento,Com Vítimas Fatais
507,Colisão frontal,Conversão proibida,Com Vítimas Feridas
508,Eventos atípicos,Transitar na contramão,Com Vítimas Feridas
509,Colisão transversal,Transitar na contramão,Sem Vítimas
510,Capotamento,Ingestão de álcool pelo condutor,Com Vítimas Feridas
511,Colisão lateral sentido oposto,Ingestão de substâncias psicoativas pelo condutor,Com Vítimas Fatais
512,Colisão lateral sentido oposto,Pista esburacada,Com Vítimas Feridas
513,Colisão lateral sentido oposto,Ausência de sinalização,Com Vítimas Feridas
514,Colisão transversal,Ingestão de álcool pelo condutor,Com Vítimas Fatais
515,Eventos atípicos,Reação tardia ou ineficiente do condutor,Com Vítimas Feridas
516,Colisão com objeto,Problema com o freio,Com Vítimas Fatais
517,Colisão lateral mesmo sentido,Velocidade Incompatível,Sem Vítimas
518,Atropelamento de Pedestre,Reação tardia ou ineficiente do condutor,Com Vítimas Fatais
519,Colisão frontal,Animais na Pista,Com Vítimas Feridas
520,Eventos atípicos,Carga excessiva e/ou mal acondicionada,Com Vítimas Feridas
521,Colisão traseira,Condutor usando celular,Sem Vítimas
522,Saída de leito carroçável,Acumulo de água sobre o pavimento,Com Vítimas Fatais
523,Tombamento,Trafegar com motocicleta (ou similar) entre as faixas,Com Vítimas Fatais
524,Eventos atípicos,Acumulo de óleo sobre o pavimento,Com Vítimas Feridas
525,Colisão lateral mesmo sentido,Velocidade Incompatível,Com Vítimas Fatais
526,Derramamento de carga,Velocidade Incompatível,Com Vítimas Feridas
527,Colisão lateral mesmo sentido,Pista esburacada,Com Vítimas Feridas
528,Colisão traseira,Acumulo de água sobre o pavimento,Com Vítimas Feridas
529,Colisão traseira,Ausência de sinalização,Com Vítimas Feridas
530,Colisão frontal,Faixas de trânsito com largura insuficiente,Com Vítimas Feridas
531,Colisão frontal,Fumaça,Com Vítimas Feridas
532,Capotamento,Avarias e/ou desgaste excessivo no pneu,Com Vítimas Feridas
533,Colisão frontal,Desvio temporário,Com Vítimas Feridas
534,Tombamento,Animais na Pista,Sem Vítimas
535,Tombamento,Transitar na contramão,Com Vítimas Feridas
536,Colisão lateral sentido oposto,Pista Escorregadia,Com Vítimas Fatais
537,Saída de leito carroçável,Demais falhas mecânicas ou elétricas,Com Vítimas Fatais
538,Saída de leito carroçável,Animais na Pista,Com Vítimas Feridas
539,Colisão lateral sentido oposto,Avarias e/ou desgaste excessivo no pneu,Com Vítimas Feridas
540,Colisão traseira,Pedestre cruzava a pista fora da faixa,Com Vítimas Feridas
541,Colisão lateral sentido oposto,Condutor usando celular,Com Vítimas Fatais
542,Saída de leito carroçável,Acostamento em desnível,Sem Vítimas
543,Colisão com objeto,Acumulo de água sobre o pavimento,Sem Vítimas
544,Colisão traseira,Animais na Pista,Com Vítimas Feridas
545,Colisão lateral mesmo sentido,Mal súbito do condutor,Sem Vítimas
546,Tombamento,Pista esburacada,Sem Vítimas
547,Atropelamento de Pedestre,Problema com o freio,Com Vítimas Fatais
548,Colisão lateral mesmo sentido,Iluminação deficiente,Com Vítimas Feridas
549,Atropelamento de Pedestre,Acessar a via sem observar a presença dos outros veículos,Com Vítimas Fatais
550,Queda de ocupante de veículo,Acessar a via sem observar a presença dos outros veículos,Com Vítimas Feridas
551,Colisão transversal,Carga excessiva e/ou mal acondicionada,Com Vítimas Feridas
552,Colisão lateral mesmo sentido,Acumulo de água sobre o pavimento,Com Vítimas Feridas
553,Engavetamento,Acumulo de água sobre o pavimento,Com Vítimas Feridas
554,Capotamento,Carga excessiva e/ou mal acondicionada,Com Vítimas Feridas
555,Capotamento,Carga excessiva e/ou mal acondicionada,Com Vítimas Fatais
556,Colisão traseira,Faróis desregulados,Com Vítimas Feridas
557,Colisão traseira,Iluminação deficiente,Sem Vítimas
558,Colisão lateral mesmo sentido,Condutor usando celular,Sem Vítimas
559,Colisão traseira,Transitar na contramão,Sem Vítimas
560,Colisão transversal,Desvio temporário,Com Vítimas Feridas
561,Colisão lateral mesmo sentido,Restrição de visibilidade em curvas verticais,Sem Vítimas
562,Capotamento,Ausência de reação do condutor,Sem Vítimas
563,Colisão traseira,Transitar no Acostamento,Sem Vítimas
564,Eventos atípicos,Pedestre andava na pista,Com Vítimas Feridas
565,Saída de leito carroçável,Pista Escorregadia,Com Vítimas Fatais
566,Colisão lateral mesmo sentido,Transitar na contramão,Com Vítimas Fatais
567,Colisão frontal,Demais falhas na via,Com Vítimas Fatais
568,Colisão lateral sentido oposto,Acumulo de água sobre o pavimento,Com Vítimas Fatais
569,Colisão transversal,Ausência de sinalização,Sem Vítimas
570,Colisão lateral mesmo sentido,Falta de acostamento,Com Vítimas Feridas
571,Colisão frontal,Acumulo de areia ou detritos sobre o pavimento,Com Vítimas Feridas
572,Capotamento,Chuva,Com Vítimas Feridas
573,Derramamento de carga,Reação tardia ou ineficiente do condutor,Com Vítimas Feridas
574,Colisão traseira,Acumulo de areia ou detritos sobre o pavimento,Com Vítimas Feridas
575,Colisão transversal,Condutor Dormindo,Com Vítimas Feridas
576,Colisão com objeto,Ingestão de álcool pelo condutor,Com Vítimas Fatais
577,Colisão transversal,Transitar no Acostamento,Com Vítimas Feridas
578,Tombamento,Transitar no Acostamento,Com Vítimas Fatais
579,Colisão transversal,Ausência de sinalização,Com Vítimas Feridas
580,Engavetamento,Acessar a via sem observar a presença dos outros veículos,Sem Vítimas
581,Colisão frontal,Transtornos Mentais (exceto suicidio),Com Vítimas Feridas
582,Colisão lateral mesmo sentido,Ultrapassagem Indevida,Com Vítimas Fatais
583,Colisão lateral sentido oposto,Condutor Dormindo,Sem Vítimas
584,Colisão transversal,Condutor desrespeitou a iluminação vermelha do semáforo,Sem Vítimas
585,Colisão traseira,Objeto estático sobre o leito carroçável,Sem Vítimas
586,Colisão traseira,Retorno proibido,Com Vítimas Feridas
587,Eventos atípicos,Ingestão de substâncias psicoativas pelo condutor,Sem Vítimas
588,Colisão lateral mesmo sentido,Entrada inopinada do pedestre,Com Vítimas Feridas
589,Colisão com objeto,Sinalização mal posicionada,Sem Vítimas
590,Saída de leito carroçável,Transtornos Mentais (exceto suicidio),Com Vítimas Feridas
591,Colisão traseira,Condutor Dormindo,Com Vítimas Fatais
592,Colisão com objeto,Animais na Pista,Com Vítimas Feridas
593,Colisão frontal,Pista esburacada,Com Vítimas Fatais
594,Incêndio,Demais Fenômenos da natureza,Sem Vítimas
595,Colisão traseira,Deficiência do Sistema de Iluminação/Sinalização,Com Vítimas Feridas
596,Colisão frontal,Falta de acostamento,Com Vítimas Feridas
597,Saída de leito carroçável,Demais falhas na via,Sem Vítimas
598,Atropelamento de Pedestre,Transitar no Acostamento,Com Vítimas Feridas
599,Colisão frontal,Pista Escorregadia,Com Vítimas Fatais
600,Colisão frontal,Neblina,Com Vítimas Feridas
601,Colisão com objeto,Transitar na contramão,Com Vítimas Fatais
602,Colisão transversal,Demais falhas na via,Com Vítimas Feridas
603,Saída de leito carroçável,Desvio temporário,Sem Vítimas
604,Colisão transversal,Conversão proibida,Sem Vítimas
605,Eventos atípicos,Mal súbito do condutor,Com Vítimas Fatais
606,Capotamento,Problema com o freio,Com Vítimas Fatais
607,Colisão lateral sentido oposto,Demais Fenômenos da natureza,Sem Vítimas
608,Queda de ocupante de veículo,Acostamento em desnível,Com Vítimas Feridas
609,Colisão traseira,Iluminação deficiente,Com Vítimas Feridas
610,Eventos atípicos,Suicídio (presumido),Com Vítimas Feridas
611,Atropelamento de Pedestre,Transtornos Mentais (exceto suicidio),Com Vítimas Feridas
612,Colisão traseira,Mal súbito do condutor,Sem Vítimas
613,Colisão lateral mesmo sentido,Retorno proibido,Com Vítimas Feridas
614,Atropelamento de Pedestre,Objeto estático sobre o leito carroçável,Com Vítimas Feridas
615,Colisão frontal,Animais na Pista,Com Vítimas Fatais
616,Colisão com objeto,Problema na suspensão,Com Vítimas Feridas
617,Tombamento,Curva acentuada,Sem Vítimas
618,Engavetamento,Frear bruscamente,Com Vítimas Feridas
619,Colisão com objeto,Objeto estático sobre o leito carroçável,Com Vítimas Fatais
620,Colisão traseira,Demais falhas mecânicas ou elétricas,Com Vítimas Fatais
621,Colisão lateral mesmo sentido,Deficiência do Sistema de Iluminação/Sinalização,Sem Vítimas
622,Colisão traseira,Desrespeitar a preferência no cruzamento,Sem Vítimas
623,Saída de leito carroçável,Acessar a via sem observar a presença dos outros veículos,Sem Vítimas
624,Colisão com objeto,Estacionar ou parar em local proibido,Com Vítimas Fatais
625,Colisão lateral sentido oposto,Desvio temporário,Com Vítimas Feridas
626,Capotamento,Acumulo de água sobre o pavimento,Com Vítimas Feridas
627,Tombamento,Ingestão de álcool pelo condutor,Com Vítimas Fatais
628,Colisão com objeto,Chuva,Com Vítimas Fatais
629,Incêndio,Carga excessiva e/ou mal acondicionada,Com Vítimas Feridas
630,Colisão lateral sentido oposto,Pista Escorregadia,Sem Vítimas
631,Saída de leito carroçável,Trafegar com motocicleta (ou similar) entre as faixas,Com Vítimas Feridas
632,Queda de ocupante de veículo,Pedestre - Ingestão de álcool/ substâncias psicoativas,Com Vítimas Feridas
633,Colisão frontal,Desrespeitar a preferência no cruzamento,Com Vítimas Feridas
634,Colisão frontal,Chuva,Sem Vítimas
635,Colisão com objeto,Acumulo de areia ou detritos sobre o pavimento,Sem Vítimas
636,Colisão traseira,Frear bruscamente,Sem Vítimas
637,Engavetamento,Estacionar ou parar em local proibido,Com Vítimas Feridas
638,Colisão transversal,Acesso irregular,Sem Vítimas
639,Saída de leito carroçável,Ingestão de substâncias psicoativas pelo condutor,Sem Vítimas
640,Incêndio,Reação tardia ou ineficiente do condutor,Sem Vítimas
641,Engavetamento,Pista Escorregadia,Com Vítimas Feridas
642,Queda de ocupante de veículo,Acumulo de areia ou detritos sobre o pavimento,Com Vítimas Feridas
643,Colisão com objeto,Acumulo de óleo sobre o pavimento,Com Vítimas Feridas
644,Tombamento,Acesso irregular,Com Vítimas Feridas
645,Engavetamento,Demais falhas na via,Com Vítimas Feridas
646,Tombamento,Acessar a via sem observar a presença dos outros veículos,Sem Vítimas
647,Incêndio,Velocidade Incompatível,Sem Vítimas
648,Atropelamento de Pedestre,Desvio temporário,Com Vítimas Fatais
649,Colisão traseira,Conversão proibida,Sem Vítimas
650,Capotamento,Ultrapassagem Indevida,Com Vítimas Feridas
651,Tombamento,Trafegar com motocicleta (ou similar) entre as faixas,Com Vítimas Feridas
652,Colisão traseira,Avarias e/ou desgaste excessivo no pneu,Com Vítimas Feridas
653,Queda de ocupante de veículo,Pista Escorregadia,Com Vítimas Fatais
654,Colisão frontal,Modificação proibida,Com Vítimas Feridas
655,Colisão lateral mesmo sentido,Chuva,Com Vítimas Feridas
656,Tombamento,Ultrapassagem Indevida,Com Vítimas Fatais
657,Tombamento,Conversão proibida,Com Vítimas Feridas
658,Atropelamento de Pedestre,Transtornos Mentais (exceto suicidio),Com Vítimas Fatais
659,Colisão frontal,Demais falhas na via,Com Vítimas Feridas
660,Tombamento,Pista esburacada,Com Vítimas Feridas
661,Queda de ocupante de veículo,Acessar a via sem observar a presença dos outros veículos,Com Vítimas Fatais
662,Colisão frontal,Suicídio (presumido),Com Vítimas Feridas
663,Capotamento,Problema na suspensão,Com Vítimas Feridas
664,Colisão transversal,Carga excessiva e/ou mal acondicionada,Sem Vítimas
665,Incêndio,Manobra de mudança de faixa,Sem Vítimas
666,Derramamento de carga,Acumulo de óleo sobre o pavimento,Com Vítimas Feridas
667,Tombamento,Condutor deixou de manter distância do veículo da frente,Sem Vítimas
668,Colisão traseira,Pedestre andava na pista,Com Vítimas Fatais
669,Engavetamento,Objeto estático sobre o leito carroçável,Com Vítimas Feridas
670,Eventos atípicos,Acessar a via sem observar a presença dos outros veículos,Com Vítimas Feridas
671,Saída de leito carroçável,Ingestão de álcool pelo condutor,Com Vítimas Fatais
672,Colisão traseira,Conversão proibida,Com Vítimas Fatais
673,Saída de leito carroçável,Deficiência do Sistema de Iluminação/Sinalização,Com Vítimas Feridas
674,Colisão frontal,Acesso irregular,Sem Vítimas
675,Colisão com objeto,Acessar a via sem observar a presença dos outros veículos,Com Vítimas Feridas
676,Colisão transversal,Demais falhas mecânicas ou elétricas,Sem Vítimas
677,Colisão com objeto,Condutor usando celular,Com Vítimas Fatais
678,Colisão lateral sentido oposto,Faróis desregulados,Com Vítimas Feridas
679,Queda de ocupante de veículo,Entrada inopinada do pedestre,Com Vítimas Fatais
680,Derramamento de carga,Acostamento em desnível,Com Vítimas Feridas
681,Colisão lateral sentido oposto,Conversão proibida,Com Vítimas Fatais
682,Colisão com objeto,Ausência de sinalização,Sem Vítimas
683,Derramamento de carga,Carga excessiva e/ou mal acondicionada,Com Vítimas Fatais
684,Eventos atípicos,Suicídio (presumido),Com Vítimas Fatais
685,Colisão transversal,Velocidade Incompatível,Com Vítimas Fatais
686,Colisão com objeto,Condutor Dormindo,Com Vítimas Fatais
687,Derramamento de carga,Ausência de reação do condutor,Com Vítimas Feridas
688,Colisão lateral mesmo sentido,Demais falhas mecânicas ou elétricas,Com Vítimas Fatais
689,Incêndio,Fumaça,Com Vítimas Feridas
690,Tombamento,Acessar a via sem observar a presença dos outros veículos,Com Vítimas Fatais
691,Capotamento,Frear bruscamente,Com Vítimas Feridas
692,Saída de leito carroçável,Manobra de mudança de faixa,Com Vítimas Fatais
693,Tombamento,Problema com o freio,Sem Vítimas
694,Eventos atípicos,Problema na suspensão,Com Vítimas Feridas
695,Colisão traseira,Carga excessiva e/ou mal acondicionada,Com Vítimas Fatais
696,Colisão frontal,Acumulo de óleo sobre o pavimento,Sem Vítimas
697,Colisão com objeto,Estacionar ou parar em local proibido,Sem Vítimas
698,Colisão traseira,Neblina,Com Vítimas Feridas
699,Atropelamento de Pedestre,Condutor Dormindo,Com Vítimas Fatais
700,Colisão lateral sentido oposto,Carga excessiva e/ou mal acondicionada,Sem Vítimas
701,Tombamento,Acumulo de areia ou detritos sobre o pavimento,Sem Vítimas
702,Colisão traseira,Deficiência do Sistema de Iluminação/Sinalização,Com Vítimas Fatais
703,Colisão traseira,Ausência de sinalização,Com Vítimas Fatais
704,Saída de leito carroçável,Sinalização mal posicionada,Com Vítimas Feridas
705,Colisão lateral sentido oposto,Estacionar ou parar em local proibido,Com Vítimas Feridas
706,Saída de leito carroçável,Condutor deixou de manter distância do veículo da frente,Sem Vítimas
707,Colisão com objeto,Área urbana sem a presença de local apropriado para a travessia de pedestres,Sem Vítimas
708,Tombamento,Condutor usando celular,Sem Vítimas
709,Colisão transversal,Restrição de visibilidade em curvas verticais,Com Vítimas Feridas
710,Colisão com objeto,Manobra de mudança de faixa,Com Vítimas Fatais
711,Engavetamento,Velocidade Incompatível,Sem Vítimas
712,Tombamento,Pista Escorregadia,Com Vítimas Fatais
713,Tombamento,Frear bruscamente,Com Vítimas Feridas
714,Queda de ocupante de veículo,Transitar no Acostamento,Com Vítimas Fatais
715,Capotamento,Pista esburacada,Com Vítimas Feridas
716,Tombamento,Desvio temporário,Com Vítimas Feridas
717,Eventos atípicos,Entrada inopinada do pedestre,Com Vítimas Feridas
718,Colisão frontal,Desrespeitar a preferência no cruzamento,Com Vítimas Fatais
719,Derramamento de carga,Manobra de mudança de faixa,Sem Vítimas
720,Colisão lateral sentido oposto,Suicídio (presumido),Com Vítimas Fatais
721,Colisão com objeto,Declive acentuado,Com Vítimas Feridas
722,Saída de leito carroçável,Declive acentuado,Com Vítimas Feridas
723,Colisão lateral mesmo sentido,Modificação proibida,Com Vítimas Feridas
724,Colisão traseira,Pista esburacada,Com Vítimas Feridas
725,Colisão traseira,Desrespeitar a preferência no cruzamento,Com Vítimas Feridas
726,Capotamento,Reação tardia ou ineficiente do condutor,Sem Vítimas
727,Colisão lateral sentido oposto,Condutor deixou de manter distância do veículo da frente,Com Vítimas Feridas
728,Incêndio,Objeto estático sobre o leito carroçável,Sem Vítimas
729,Colisão com objeto,Acumulo de óleo sobre o pavimento,Sem Vítimas
730,Colisão lateral mesmo sentido,Conversão proibida,Com Vítimas Fatais
731,Colisão frontal,Deficiência do Sistema de Iluminação/Sinalização,Com Vítimas Fatais
732,Colisão lateral sentido oposto,Iluminação deficiente,Com Vítimas Feridas
733,Tombamento,Falta de acostamento,Sem Vítimas
734,Incêndio,Fumaça,Sem Vítimas
735,Tombamento,Acumulo de água sobre o pavimento,Com Vítimas Feridas
736,Saída de leito carroçável,Carga excessiva e/ou mal acondicionada,Sem Vítimas
737,Colisão com objeto,Transitar na contramão,Sem Vítimas
738,Incêndio,Ausência de reação do condutor,Sem Vítimas
739,Eventos atípicos,Avarias e/ou desgaste excessivo no pneu,Com Vítimas Feridas
740,Atropelamento de Pedestre,Condutor Dormindo,Com Vítimas Feridas
741,Colisão lateral sentido oposto,Manobra de mudança de faixa,Sem Vítimas
742,Colisão transversal,Estacionar ou parar em local proibido,Com Vítimas Feridas
743,Colisão lateral mesmo sentido,Retorno proibido,Com Vítimas Fatais
744,Colisão lateral mesmo sentido,Animais na Pista,Sem Vítimas
745,Atropelamento de Pedestre,Área urbana sem a presença de local apropriado para a travessia de pedestres,Com Vítimas Feridas
746,Saída de leito carroçável,Animais na Pista,Sem Vítimas
747,Atropelamento de Pedestre,Entrada inopinada do pedestre,Sem Vítimas
748,Colisão traseira,Acumulo de óleo sobre o pavimento,Com Vítimas Feridas
749,Saída de leito carroçável,Falta de elemento de contenção que evite a saída do leito carroçável,Com Vítimas Fatais
750,Colisão frontal,Objeto estático sobre o leito carroçável,Com Vítimas Fatais
751,Saída de leito carroçável,Neblina,Com Vítimas Feridas
752,Colisão traseira,Acostamento em desnível,Sem Vítimas
753,Colisão traseira,Fumaça,Com Vítimas Feridas
754,Colisão com objeto,Ultrapassagem Indevida,Sem Vítimas
755,Saída de leito carroçável,Acesso irregular,Sem Vítimas
756,Colisão frontal,Estacionar ou parar em local proibido,Com Vítimas Feridas
757,Colisão traseira,Falta de acostamento,Com Vítimas Fatais
758,Queda de ocupante de veículo,Deficiência do Sistema de Iluminação/Sinalização,Com Vítimas Feridas
759,Colisão lateral mesmo sentido,Avarias e/ou desgaste excessivo no pneu,Sem Vítimas
760,Colisão frontal,Transitar no Acostamento,Com Vítimas Feridas
761,Colisão traseira,Objeto estático sobre o leito carroçável,Com Vítimas Fatais
762,Colisão com objeto,Acessar a via sem observar a presença dos outros veículos,Sem Vítimas
